2016-12-16 22:26:15,500 [MainThread:6772] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-16 22:40:04,401 [MainThread:8384] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-16 22:40:11,770 [MainThread:7700] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-16 22:40:15,917 [MainThread:5988] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-16 22:40:31,743 [MainThread:4528] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-16 22:40:43,371 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-16 22:40:43,428 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-16 22:40:43,430 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2016-12-16 22:40:43,433 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime NOT NULL); (params None)
2016-12-16 22:40:43,558 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.123) CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime NOT NULL); args=None
2016-12-16 22:40:43,562 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=[u'django_migrations']
2016-12-16 22:40:43,565 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-12-16 22:40:43,578 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2016-12-16 22:40:43,605 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET foreign_key_checks=0; args=None
2016-12-16 22:40:43,609 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET foreign_key_checks=1; args=None
2016-12-16 22:40:43,615 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-16 22:40:43,617 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET foreign_key_checks=0; args=None
2016-12-16 22:40:43,621 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET foreign_key_checks=1; args=None
2016-12-16 22:40:43,815 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
2016-12-16 22:40:43,821 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-12-16 22:40:43,959 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.136) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
2016-12-16 22:40:43,961 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
2016-12-16 22:40:43,966 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_3ec8c61c_uniq` UNIQUE (`app_label`, `model`); (params [])
2016-12-16 22:40:44,101 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.134) ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_3ec8c61c_uniq` UNIQUE (`app_label`, `model`); args=[]
2016-12-16 22:40:44,104 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2016-12-16 22:40:44,107 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0001_initial', '2016-12-16 14:40:44.105000'); args=['contenttypes', u'0001_initial', u'2016-12-16 14:40:44.105000']
2016-12-16 22:40:44,144 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `django_content_type` MODIFY `name` varchar(100) NULL; (params [])
2016-12-16 22:40:44,420 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.274) ALTER TABLE `django_content_type` MODIFY `name` varchar(100) NULL; args=[]
2016-12-16 22:40:44,427 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `django_content_type` DROP COLUMN `name` CASCADE; (params [])
2016-12-16 22:40:44,640 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.212) ALTER TABLE `django_content_type` DROP COLUMN `name` CASCADE; args=[]
2016-12-16 22:40:44,642 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2016-12-16 22:40:44,645 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0002_remove_content_type_name', '2016-12-16 14:40:44.644000'); args=['contenttypes', u'0002_remove_content_type_name', u'2016-12-16 14:40:44.644000']
2016-12-16 22:40:44,694 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL, UNIQUE (`content_type_id`, `codename`)); (params None)
2016-12-16 22:40:44,878 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.183) CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL, UNIQUE (`content_type_id`, `codename`)); args=None
2016-12-16 22:40:44,881 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=[u'auth_permission']
2016-12-16 22:40:44,888 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); (params None)
2016-12-16 22:40:45,068 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.179) CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); args=None
2016-12-16 22:40:45,072 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group'; args=[u'auth_group']
2016-12-16 22:40:45,073 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `auth_group_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `group_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`group_id`, `permission_id`)); (params None)
2016-12-16 22:40:45,247 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.172) CREATE TABLE `auth_group_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `group_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`group_id`, `permission_id`)); args=None
2016-12-16 22:40:45,250 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group_permissions'; args=[u'auth_group_permissions']
2016-12-16 22:40:45,262 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_permissi_content_type_id_51277a81_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); (params [])
2016-12-16 22:40:45,698 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.435) ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_permissi_content_type_id_51277a81_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); args=[]
2016-12-16 22:40:45,700 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissions_group_id_58c48ba9_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); (params [])
2016-12-16 22:40:46,138 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.437) ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissions_group_id_58c48ba9_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); args=[]
2016-12-16 22:40:46,138 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissi_permission_id_23962d04_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); (params [])
2016-12-16 22:40:46,569 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.428) ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permissi_permission_id_23962d04_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); args=[]
2016-12-16 22:40:46,572 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2016-12-16 22:40:46,575 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0001_initial', '2016-12-16 14:40:46.573000'); args=['auth', u'0001_initial', u'2016-12-16 14:40:46.573000']
2016-12-16 22:40:46,608 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `auth_permission` MODIFY `name` varchar(255); (params [])
2016-12-16 22:40:47,029 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.420) ALTER TABLE `auth_permission` MODIFY `name` varchar(255); args=[]
2016-12-16 22:40:47,030 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2016-12-16 22:40:47,033 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0002_alter_permission_name_max_length', '2016-12-16 14:40:47.032000'); args=['auth', u'0002_alter_permission_name_max_length', u'2016-12-16 14:40:47.032000']
2016-12-16 22:40:47,073 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2016-12-16 22:40:47,078 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0003_alter_user_email_max_length', '2016-12-16 14:40:47.076000'); args=['auth', u'0003_alter_user_email_max_length', u'2016-12-16 14:40:47.076000']
2016-12-16 22:40:47,111 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2016-12-16 22:40:47,114 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0004_alter_user_username_opts', '2016-12-16 14:40:47.112000'); args=['auth', u'0004_alter_user_username_opts', u'2016-12-16 14:40:47.112000']
2016-12-16 22:40:47,151 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2016-12-16 22:40:47,154 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0005_alter_user_last_login_null', '2016-12-16 14:40:47.153000'); args=['auth', u'0005_alter_user_last_login_null', u'2016-12-16 14:40:47.153000']
2016-12-16 22:40:47,181 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2016-12-16 22:40:47,186 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0006_require_contenttypes_0002', '2016-12-16 14:40:47.183000'); args=['auth', u'0006_require_contenttypes_0002', u'2016-12-16 14:40:47.183000']
2016-12-16 22:40:47,220 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `blog_user` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `password` varchar(128) NOT NULL, `last_login` datetime NULL, `is_superuser` bool NOT NULL, `username` varchar(30) NOT NULL UNIQUE, `first_name` varchar(30) NOT NULL, `last_name` varchar(30) NOT NULL, `email` varchar(254) NOT NULL, `is_staff` bool NOT NULL, `is_active` bool NOT NULL, `date_joined` datetime NOT NULL, `avatar` varchar(200) NULL, `qq` varchar(20) NULL, `mobile` varchar(11) NULL UNIQUE); (params None)
2016-12-16 22:40:47,668 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.447) CREATE TABLE `blog_user` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `password` varchar(128) NOT NULL, `last_login` datetime NULL, `is_superuser` bool NOT NULL, `username` varchar(30) NOT NULL UNIQUE, `first_name` varchar(30) NOT NULL, `last_name` varchar(30) NOT NULL, `email` varchar(254) NOT NULL, `is_staff` bool NOT NULL, `is_active` bool NOT NULL, `date_joined` datetime NOT NULL, `avatar` varchar(200) NULL, `qq` varchar(20) NULL, `mobile` varchar(11) NULL UNIQUE); args=None
2016-12-16 22:40:47,671 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user'; args=[u'blog_user']
2016-12-16 22:40:47,674 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `blog_user_groups` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `group_id` integer NOT NULL, UNIQUE (`user_id`, `group_id`)); (params None)
2016-12-16 22:40:47,848 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.173) CREATE TABLE `blog_user_groups` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `group_id` integer NOT NULL, UNIQUE (`user_id`, `group_id`)); args=None
2016-12-16 22:40:47,851 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user_groups'; args=[u'blog_user_groups']
2016-12-16 22:40:47,852 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `blog_user_user_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`user_id`, `permission_id`)); (params None)
2016-12-16 22:40:48,017 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.163) CREATE TABLE `blog_user_user_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`user_id`, `permission_id`)); args=None
2016-12-16 22:40:48,020 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user_user_permissions'; args=[u'blog_user_user_permissions']
2016-12-16 22:40:48,030 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `blog_ad` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `title` varchar(50) NOT NULL, `description` varchar(200) NOT NULL, `image_url` varchar(100) NOT NULL, `callback_url` varchar(200) NULL, `date_publish` datetime NOT NULL, `index` varchar(100) NOT NULL); (params None)
2016-12-16 22:40:48,229 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.197) CREATE TABLE `blog_ad` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `title` varchar(50) NOT NULL, `description` varchar(200) NOT NULL, `image_url` varchar(100) NOT NULL, `callback_url` varchar(200) NULL, `date_publish` datetime NOT NULL, `index` varchar(100) NOT NULL); args=None
2016-12-16 22:40:48,232 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_ad'; args=[u'blog_ad']
2016-12-16 22:40:48,240 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `blog_article` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `title` varchar(50) NOT NULL, `desc` varchar(50) NOT NULL, `content` longtext NOT NULL, `click_count` integer NOT NULL, `is_recommend` bigint NOT NULL, `date_publish` datetime NOT NULL); (params None)
2016-12-16 22:40:48,608 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.368) CREATE TABLE `blog_article` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `title` varchar(50) NOT NULL, `desc` varchar(50) NOT NULL, `content` longtext NOT NULL, `click_count` integer NOT NULL, `is_recommend` bigint NOT NULL, `date_publish` datetime NOT NULL); args=None
2016-12-16 22:40:48,611 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_article'; args=[u'blog_article']
2016-12-16 22:40:48,619 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `blog_catagory` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(30) NOT NULL, `index` integer NOT NULL); (params None)
2016-12-16 22:40:48,918 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.298) CREATE TABLE `blog_catagory` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(30) NOT NULL, `index` integer NOT NULL); args=None
2016-12-16 22:40:48,921 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_catagory'; args=[u'blog_catagory']
2016-12-16 22:40:48,938 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `blog_comment` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `content` longtext NOT NULL, `date_publish` datetime NOT NULL, `article_id` integer NULL, `pid_id` integer NOT NULL, `user_id` integer NULL); (params None)
2016-12-16 22:40:49,108 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.167) CREATE TABLE `blog_comment` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `content` longtext NOT NULL, `date_publish` datetime NOT NULL, `article_id` integer NULL, `pid_id` integer NOT NULL, `user_id` integer NULL); args=None
2016-12-16 22:40:49,111 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_comment'; args=[u'blog_comment']
2016-12-16 22:40:49,121 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `blog_link` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `title` varchar(50) NOT NULL, `description` varchar(200) NOT NULL, `callback_url` varchar(200) NOT NULL, `date_pulish` datetime NOT NULL, `index` integer NOT NULL); (params None)
2016-12-16 22:40:49,267 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.145) CREATE TABLE `blog_link` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `title` varchar(50) NOT NULL, `description` varchar(200) NOT NULL, `callback_url` varchar(200) NOT NULL, `date_pulish` datetime NOT NULL, `index` integer NOT NULL); args=None
2016-12-16 22:40:49,272 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_link'; args=[u'blog_link']
2016-12-16 22:40:49,282 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `blog_tag` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(30) NOT NULL); (params None)
2016-12-16 22:40:49,438 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.156) CREATE TABLE `blog_tag` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(30) NOT NULL); args=None
2016-12-16 22:40:49,441 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_tag'; args=[u'blog_tag']
2016-12-16 22:40:49,466 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- CREATE TABLE `blog_article_tag` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `article_id` integer NOT NULL, `tag_id` integer NOT NULL, UNIQUE (`article_id`, `tag_id`)); (params None)
2016-12-16 22:40:49,668 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.202) CREATE TABLE `blog_article_tag` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `article_id` integer NOT NULL, `tag_id` integer NOT NULL, UNIQUE (`article_id`, `tag_id`)); args=None
2016-12-16 22:40:49,671 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_article_tag'; args=[u'blog_article_tag']
2016-12-16 22:40:49,700 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `blog_article` ADD COLUMN `user_id` integer NULL; (params [])
2016-12-16 22:40:49,970 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.270) ALTER TABLE `blog_article` ADD COLUMN `user_id` integer NULL; args=[]
2016-12-16 22:40:49,971 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `blog_article` ALTER COLUMN `user_id` DROP DEFAULT; (params [])
2016-12-16 22:40:50,000 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.028) ALTER TABLE `blog_article` ALTER COLUMN `user_id` DROP DEFAULT; args=[]
2016-12-16 22:40:50,002 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `blog_user_groups` ADD CONSTRAINT `blog_user_groups_user_id_3a8a3282_fk_blog_user_id` FOREIGN KEY (`user_id`) REFERENCES `blog_user` (`id`); (params [])
2016-12-16 22:40:50,418 [MainThread:8620] [django.db.backends:89] [utils:execute] [DEBUG]- (0.415) ALTER TABLE `blog_user_groups` ADD CONSTRAINT `blog_user_groups_user_id_3a8a3282_fk_blog_user_id` FOREIGN KEY (`user_id`) REFERENCES `blog_user` (`id`); args=[]
2016-12-16 22:40:50,418 [MainThread:8620] [django.db.backends.schema:98] [schema:execute] [DEBUG]- ALTER TABLE `blog_user_groups` ADD CONSTRAINT `blog_user_groups_group_id_17533145_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); (params [])
